longname,glot_fam,81A,82A,83A,87A,88A,89A,92A,93A,nValues,97A,112A,116A,143A,143E,143F,143G,144A,144B,144D,144H,144I,144J,144K,26A,33A,37A,38A,51A,57A,69A,85A,86A,90A,90C,95A,96A,101A,144L,144P,144Q,144R,144S,70A,71A,132A,133A,134A,135A,14A,15A,16A,17A,142A,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,18A,19A,20A,21A,21B,28A,29A,35A,39A,40A,44A,48A,49A,50A,65A,66A,67A,68A,77A,78A,84A,91A,94A,98A,99A,100A,102A,103A,104A,107A,111A,113A,114A,121A,129A,130A,13A,22A,23A,24A,25A,25B,27A,30A,31A,32A,34A,36A,41A,42A,46A,47A,52A,53A,54A,55A,58A,58B,59A,60A,61A,62A,63A,64A,72A,73A,74A,75A,76A,79A,79B,80A,90B,105A,106A,108A,108B,109A,109B,110A,115A,117A,118A,119A,120A,122A,123A,124A,125A,126A,127A,128A,131A,136A,136B,137A,137B,144M,138A,39B,45A,56A,143B,144F,144E,139A,140A,143C,144O,144G,43A,144C,144T,144V,144W,144X,81B,10B,130B,144N,144U,90D,144Y,90E,141A,90F,143D,90G
ST.BODIC.WESTERN_BALTI,Sino-Tibetan,1,1,1,1,1,2,,,-162,1,,2,,1,1,,,,,,,,,2,2,,1,,,2,1,,2,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May.MAYAN.WESTERN_CAKCHIQUEL_PATZUN,Mayan,,2,2,1,1,1,,1,-161,,,,,1,1,,,,,,,,,,,,,,,,2,2,1,1,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,2,,,,,,,
May.MAYAN.WESTERN_KEKCHI_SAN_JUAN_CHAMELCO,Mayan,,,,,,,,,-174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,2,,2,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA.NUMIC.WESTERN_MONO,Uto-Aztecan,1,1,1,,,,,1,-159,,2,1,1,1,,,,1,,,,,,2,2,,,1,1,2,1,1,1,1,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May.MAYAN.WESTERN_POCOMAM_SAN_CRISTOBAL_VERAPAZ,Mayan,,,,,,,,,-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May.MAYAN.WESTERN_QUICHE_MOMOSTENANGO,Mayan,,,,,,,,,-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May.MAYAN.WESTERN_QUICHE_SANTA_CATARINA_IXTAHUACAN,Mayan,,,,,,,,,-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May.MAYAN.WESTERN_QUICHE_TOTONICAPAN,Mayan,,,,,,,,,-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA.ESKIMO.WEST_GREENLANDIC,Eskimo-Aleut,1,1,1,2,,2,,2,-102,2,1,2,,,2,,,,,,,,,2,2,,,1,2,2,1,1,1,1,1,2,2,,,,,2,1,,,,,,,,,,,,1,,,1,,1,,2,2,1,2,1,1,1,2,1,2,,,,,,,,,2,,1,,2,2,,1,,,1,2,,2,2,1,2,2,,1,,,1,,,,,2,,1,1,1,,2,,1,1,1,2,,,,2,1,1,,,,2,1,,2,1,2,1,,,1,,,,2,1,,1,,1,,,1,1,,,,,,,2,2,,2,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
An.OCEANIC.WEST_KARA,Austronesian,,,,,,,,,-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP.NORTH_HALMAHERAN.WEST_MAKIAN,North_Halmahera,2,1,2,2,2,2,,2,-142,,2,,2,,1,,,,,,,,1,,,,,,1,,2,1,1,1,,,2,,,,,,,,,,,,,,,,,2,2,,2,2,1,1,2,,,1,2,1,1,,,,,,,,,,2,,,,,,,,,1,,1,,,2,2,2,1,2,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ijo.IJOID.WEST_TARAKIRI,Ijoid,1,1,1,1,1,1,,2,-146,1,,2,,,,,,,,,,,,,2,,,1,1,2,,1,2,,,1,,,,,,,2,2,,,,,,,,,,,,2,,2,1,1,2,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,1,,,,,,,2,,,,,1,,,,,,,,,,,,,,,2,1,2,,,,,,2,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ber.BERTA.WETAWIT,Berta,2,1,2,2,,2,2,,-154,,1,1,,2,,,,,,,2,,,,,,,,2,2,,,1,1,,,,,,,,,1,,,,,,,,,,,,2,,1,1,1,2,2,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cad.CADDOAN.WICHITA,Caddoan,,,1,2,1,1,,,-108,2,2,1,1,1,,,,1,,,,,,,,,,1,1,,,,1,1,,2,2,,1,,,,1,1,,,,,1,,,,,,1,,1,1,1,,1,,2,1,,2,1,1,1,1,1,,,,,,1,,2,1,,1,,2,2,,,1,1,,,,,2,2,2,,,,2,2,1,,1,1,1,2,,1,1,1,,,2,1,1,2,,,,,2,1,1,,,,,,,1,2,,,2,,,,,1,,,,1,2,,1,,2,1,,,,,,,,,1,1,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Cad.CADDOAN.WICHITA_2,Caddoan,,,1,2,1,1,,,-108,2,2,1,1,1,,,,1,,,,,,,,,,1,1,,,,1,1,,2,2,,1,,,,1,1,,,,,1,,,,,,1,,1,1,1,,1,,2,1,,2,1,1,1,1,1,,,,,,1,,2,1,,1,,2,2,,,1,1,,,,,2,2,2,,,,2,2,1,,1,1,1,2,,1,1,1,,,2,1,1,2,,,,,2,1,1,,,,,,,1,2,,,2,,,,,1,,,,1,2,,1,,2,1,,,,,,,,,1,1,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Mat.MATACOAN.WICHI_LHAMTES_GUISNAY,Matacoan,2,1,2,2,2,1,1,1,-102,,2,1,,1,2,,,,,,1,2,,,2,1,,,1,2,2,1,1,1,,,,,,,,,1,,,,,,2,,1,1,,,2,,1,1,2,,2,,2,1,2,1,1,2,,1,1,,,,2,,1,1,1,2,2,1,,1,1,1,,1,1,1,2,,,2,2,2,,2,,2,2,1,2,,1,,2,,,,,,1,,,,,2,,,,1,1,,,,,,2,,2,2,,,,2,1,,,,,,,,1,1,,,1,1,,,2,,,,,,1,1,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PN.NORTHERN_PAMA_NYUNGAN.WIK_MUNGKAN,Pama-Nyungan,1,1,1,2,2,2,,2,-152,2,2,,1,1,,,,,,,,,,2,,,,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,1,1,2,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sio.CORE_SIOUAN.WINNEBAGO,Siouan,,,,,,,,,-179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
PN.CENTRAL_PAMA_NYUNGAN.WIRANGU,Pama-Nyungan,,,,,,,,,-176,,2,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PN.NORTHERN_PAMA_NYUNGAN.WIRRI,Pama-Nyungan,2,1,2,1,1,1,,2,-159,,2,,,1,1,,,,,1,1,1,1,2,,,,1,,2,,1,1,1,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alg.WIYOT.WIYOT,Algic,,1,,2,1,,,1,-152,,2,1,,1,2,,,,,,,,,2,,2,,1,1,,,1,,,,,2,,,,,,,,,,,,1,,,,,,2,,1,1,1,1,,,,1,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.KRU.WOBE,Atlantic-Congo,,,,,,,,,-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep.UPPER_SEPIK.WOGAMUSIN,Sepik,,,,2,,,,,-181,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PN.SOUTHEASTERN_PAMA_NYUNGAN.WOIWURRUNG,Pama-Nyungan,,,,,,,,,-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.NORTH_OMOTIC.WOLAYTTA,Ta-Ne-Omotic,1,1,1,1,1,1,,,-162,1,1,2,,,2,,,,,,,,,2,2,,,1,,2,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An.OCEANIC.WOLEAIAN,Austronesian,2,1,2,2,2,1,,2,-154,,,,1,1,,,2,,2,,1,,,1,,1,2,,2,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An.CELEBIC.WOLIO,Austronesian,,2,2,2,1,1,,,-165,,,,,,,,,,,,,,,,,,,,2,,2,2,1,1,,,,,,,,,,2,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.NORTHERN_ATLANTIC.WOLOF,Atlantic-Congo,2,1,2,2,2,1,1,1,-130,,,1,,1,2,,,,,,1,2,,1,,1,1,,2,,2,2,1,1,,,,,,,,,1,2,,,,,,,,,,,,,2,2,1,1,2,,2,1,,1,1,,,,,,,,,,,,,2,1,2,,,,1,2,1,,,,,,,,,,,2,,,1,,,,,,2,,,,,,,,,1,,,,,,,,,,,2,2,1,,2,1,2,,,,,2,,,,,,,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sko.SERRA_HILLS.WOMO,Sko,1,1,1,2,2,,,2,-171,2,2,,2,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep.MIDDLE_SEPIK.WOSERA,Ndu,1,1,1,1,1,2,,2,-156,1,2,1,,1,2,,,,,,,,,,,,,,,2,1,1,2,,1,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.WOSI,Austronesian,2,1,2,2,2,2,,2,-113,,2,,2,,1,,,,,,,,1,1,,,,,,1,2,1,1,1,,,1,,,,,,,2,,,,,,,1,1,2,2,2,,2,2,1,1,2,1,2,1,,1,1,,,,1,,,,,,2,1,1,,,,,1,1,1,,1,1,1,,2,2,1,1,2,1,,,,,1,,,,,,,1,1,1,,,,,1,,,,,,,,,,,,,1,,2,2,2,,,,1,,2,,,,,,1,,,,,,,,2,1,1,1,1,1,,,,,,,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,,,
Cho.CHOCO.WOUNAAN,Chocoan,,1,1,,,,,,-171,,1,,,,2,,,,,,,,,2,2,,,1,,2,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.BIU_MANDARA.WUZLAM,Afro-Asiatic,2,1,2,2,2,2,2,,-162,,2,1,2,,1,,,,,,,,1,,,1,,,,1,2,2,1,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iro.NORTHERN_IROQUOIAN.WYANDOT,Iroquoian,,2,2,,,,,,-178,,2,,,1,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.LOWLAND_EAST_CUSHITIC.W_OROMO,Afro-Asiatic,,,,,,,,,-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man.WESTERN_MANDE.XAASONGAXANGO,Mande,1,1,1,2,1,2,,2,-167,2,,1,,,,,,,,,,,,1,2,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
NDa.LAK_DARGWA.XAJDAK_DARGI,Nakh-Daghestanian,1,1,1,1,,1,,,-161,1,,,,,,,,,,,,,,,2,,,1,,,1,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,2,1,,,,,2,,,1,,1,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An.OCEANIC.XARACUU,Austronesian,2,1,2,1,2,1,,,-167,,,,1,1,,,2,,2,,1,,,1,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGe.GE_KAINGANG.XAVANTE,Nuclear-Macro-Je,,1,,,,,1,,-174,,2,1,2,,1,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGe.GE_KAINGANG.XAVANTE_2,Nuclear-Macro-Je,,1,,,,,1,,-174,,2,1,2,,1,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGe.GE_KAINGANG.XERENTE,Nuclear-Macro-Je,1,1,1,2,1,,,,-174,2,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.BANTOID.XETSOXO,Atlantic-Congo,,,,2,2,2,,,-176,,,,1,1,,,,,,,,,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.BANTOID.XHOSA,Atlantic-Congo,2,1,2,2,,2,,2,-165,,1,1,,2,,,,,,,2,,,,1,2,,2,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.BANTOID.XHOSA_2,Atlantic-Congo,2,1,2,2,,2,,2,-165,,1,1,,2,,,,,,,2,,,,1,2,,2,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST.BURMESE_LOLO.XIANDAO,Sino-Tibetan,,1,1,,2,2,2,2,-171,,,1,,,,,,,,,,,,,,,,,,,1,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tot.TOTONACAN.XICOTEPEC_TOTONAC,Totonacan,2,1,2,1,1,,1,1,-158,,,1,,,,,,,,,,,,,,1,,,1,,2,2,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST.BURMESE_LOLO.XIDE,Sino-Tibetan,,1,1,2,2,2,,,-174,2,,,1,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST.BAI.XISHAN_BAI,Sino-Tibetan,2,1,2,1,2,2,2,2,-155,,,1,1,1,,,2,,2,,1,,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,2,,1,,1,1,1,2,,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGe.GE_KAINGANG.XOKLENG,Nuclear-Macro-Je,,,,,,,,,-168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1,2,1,,,,,,2,1,,,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Tu.TU.XOON,Tuu,2,1,2,2,2,2,,2,-168,,,1,1,1,,,2,,2,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tu.TU.XOON_MASARWA,Tuu,2,1,2,2,2,2,,2,-168,,,1,1,1,,,2,,2,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tu.TU.XOON_NUEN,Tuu,2,1,2,2,2,2,,2,-168,,,1,1,1,,,2,,2,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.BANTOID.YABA_MBETI,Atlantic-Congo,2,1,2,2,2,2,,,-173,,,,,1,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
